wordform	frequency	dispersion
airport	14	0.882174878340926
junior	21	0.8128200777386624
sch	1	0.9867741175645133
moved	86	0.5855604813984839
city	57	0.689124104784672
meck	1	0.9867741175645133
culture	23	0.8413427962989231
diverse	1	0.9867741175645133
schools	14	0.8891962732981509
sides	10	0.8186816215864042
white	54	0.6610479915046078
met	55	0.6451527042917938
unc-charlotte	2	0.9803340800769799
compare	3	0.9532809109270144
black	77	0.6566883022506903
asian	3	0.9663614539950783
grunge	1	0.9867741175645133
redneck	4	0.9540376779780788
matter	27	0.7782366269684156
slam	1	0.9867741175645133
providence	6	0.9459487904256437
stereotypes	1	0.9867741175645133
changed	18	0.7986598707983139
hmm	20	0.8232873760230137
tough	3	0.9667974720973471
cause	33	0.8335463306821429
dress	25	0.8386682904582198
owned	12	0.8727077726491356
prom	3	0.9817874737512089
treated	10	0.9407115614960933
boy	61	0.6257351078703194
generations	3	0.965825201846311
great-grandfather	9	0.9620062846747153
brothers	36	0.7231205698639656
da-da-da-da	1	0.9867741175645133
cousins	43	0.7605879496065172
guys	47	0.6635054554512444
female	11	0.8653355585291655
blood	9	0.8439155427924201
averetts	1	0.9867741175645133
until	113	0.4497840067176324
oldest	16	0.8687134458961675
kids	140	0.5020448819421922
raised	30	0.7640239960307317
tomboy	9	0.9054241654262702
guy	85	0.5443248219887555
totally	23	0.7174134212080863
personality	18	0.872532363067763
along	47	0.6354468535093271
fight	16	0.8809019059503943
perfect	12	0.8357163977888368
younger	41	0.7214329605971407
shot	24	0.7904507023900808
before	142	0.3689990776350103
admitted	4	0.9375892709476628
exact	4	0.8910455914560499
break	26	0.8440007417319441
weeks	38	0.7041906008424407
tense	2	0.9806748758350747
basically	62	0.6102394251868436
close	62	0.6386284555081276
sports	39	0.80307672260883
started	138	0.427457243097415
shopping	17	0.8200347812141349
make-up	1	0.9867741175645133
occur	1	0.9867741175645133
will	76	0.5537427920510181
beer	8	0.9153623711366039
cigarette	2	0.9550650769546893
understands	1	0.9867741175645133
sudden	31	0.7036580415269655
softball	3	0.9761192384217146
daddy	81	0.6744142016051924
wannabe	1	0.9867741175645133
resents	2	0.9867741175645133
suck	1	0.9867741175645133
admit	4	0.9155828860389008
without	24	0.7100128800749748
disrespecting	1	0.9867741175645133
run	68	0.6300584659297104
rampage	1	0.9867741175645133
and--	18	0.7492595209814916
major	16	0.8565550560558903
theater	17	0.9133727253136071
semester	5	0.9600918143865926
pre-	1	0.9867741175645133
business	20	0.813975633103296
marketing	1	0.9867741175645133
advertising	1	0.9867741175645133
involved	20	0.7586181233179472
convinced	6	0.9509655044528974
da-da-da	1	0.9867741175645133
supportive	1	0.9867741175645133
schedule	3	0.9744152596312391
tuition	2	0.9867741175645133
bill	3	0.9550650769546893
thea	1	0.9867741175645133
irate	1	0.9867741175645133
paying	11	0.8594317731903994
so--	24	0.8575223146046015
pay	18	0.879508652704064
ha	10	0.8904141169631087
quickly	11	0.8688387384542906
worked	66	0.5886037078396238
pool	14	0.8933209043115673
campus	9	0.9588839941262849
lifeguard	3	0.9867741175645133
winter	11	0.905228709035598
job	52	0.6463073970027705
space	13	0.908676760235149
drive	71	0.6389905640939197
across	42	0.6772112883583165
able	59	0.5925243919127433
fan	7	0.9580570632426715
plays	4	0.9291846461487573
move	47	0.6365475086454532
become	25	0.7388953205735391
ex	3	0.9637954624047149
accepted	5	0.9261475545398505
trying	102	0.48251623423045764
convince	3	0.9744152596312391
double	4	0.9664316178276274
fall	26	0.7797356828193831
strong	16	0.7890724842507255
possibility	1	0.9867741175645133
stupid	9	0.8747174652814319
nor	1	0.9867741175645133
l	5	0.9224439065217281
million	6	0.9649982709626979
that--	2	0.9734480010825277
